building,name,area,perim,shape,sample,vertices
yes,iqrha,243.16353,66.43053,0.69242,34,9
yes,venkana,295.37123,74.29042,0.67253,,9
yes,teresa,205.77651,66.22643,0.58958,7,9
yes,andy,219.61385,68.66999,0.58524,62,15
yes,kelvin,176.43662,53.22867,0.78254,40,5
yes,martha,300.96984,75.27651,0.66744,57,13
yes,ruben,129.57958,48.33343,0.69703,,8
yes,bhavana,222.18634,71.45336,0.54687,55,13
yes,teesta,227.35385,71.39569,0.56049,,13
yes,ashley,211.07927,58.20483,0.78296,,5
yes,bhojaraj,138.02117,47.09987,0.78184,19,5
yes,richman,159.21814,54.61797,0.6707,36,7
yes,ruben,237.83259,66.88312,0.66811,,10
yes,bhavana,316.67526,80.08597,0.62046,,9
yes,bhojaraj,196.04726,56.79413,0.76377,,7
yes,ashley,264.15762,68.72267,0.70287,41,13
yes,martha,156.62311,52.67373,0.70938,59,7
yes,iqrha,223.20913,70.19261,0.5693,33,13
yes,bhavana,263.77724,68.3471,0.70959,23,9
yes,ranjith,218.90944,67.67066,0.60072,,9
yes,andy,188.8088,63.49259,0.58855,27,13
yes,kelvin,237.12255,63.71424,0.73402,50,9
yes,martha,234.94171,65.8869,0.6801,58,11
yes,ruben,207.76293,59.61399,0.73465,42,7
yes,venkana,227.15944,62.43502,0.73229,50,9
yes,teesta,167.87669,56.77526,0.65446,51,11
yes,ranjith,221.75524,64.9498,0.66058,,9
yes,bhojaraj,307.29822,71.09285,0.76404,57,7
yes,richman,231.09565,65.68498,0.67308,,13
yes,ruben,246.58975,64.72587,0.73965,77,9
yes,teresa,242.17172,86.41131,0.40756,,13
yes,bhojaraj,167.64846,61.2435,0.56168,,13
yes,ranjith,361.80792,86.1955,0.61195,,11
yes,martha,213.91662,78.60174,0.4351,,9
yes,iqrha,266.24266,87.57664,0.43623,,11
yes,venkana,280.97318,73.51505,0.65331,,9
yes,ranjith,334.57561,77.75177,0.69548,,7
yes,bhojaraj,234.85154,64.43106,0.71091,59,9
yes,kelvin,128.24966,47.51216,0.71393,36,7
yes,richman,176.06188,60.12642,0.61199,,9
